nome,pop_total,pop_negra,perc_negra
BA,14141626,11268655,79.7
PA,8120131,6467067,79.6
MA,6776699,5353442,79.0
AP,733759,565637,77.1
PI,3271199,2521542,77.0
TO,1511460,1138654,75.3
AC,830018,620975,74.8
SE,2210004,1645464,74.4
AM,3941613,2905285,73.7
CE,8794957,6286667,71.4
AL,3127683,2186574,69.9
RO,1581196,1073501,67.9
MT,3658649,2409480,65.9
PE,9058931,5916359,65.3
RR,636707,413689,65.0
PB,3974687,2524452,63.5
GO,7056495,4471424,63.4
ES,3833712,2338483,61.0
RN,3302729,1983709,60.0
DF,2817381,1672601,59.3
MG,20539989,12038028,58.6
RJ,16055174,9276993,57.8
BR,203080756,112739744,55.5
MS,2757013,1472898,53.4
SP,44411238,18183257,41.0
PR,11444380,3925818,34.3
SC,7610361,1772896,23.3
RS,10882965,2306194,21.2
